dates,campaign_name,creative_name,total_spent,impressions,clicks,click_through_rate,leads,platform,adset_name,cost_per_lead,conversion_rate
4/30/2024,USP Study Abroad_Generic_240224,#8 ( Graphic ) - Study In The USA,1162.49,611,19,3.1096563,7.0,Facebook,All India Counselling Look-a-like_290224,166.07,36.84210526315789
4/30/2024,USP Study Abroad_Generic_240224,#8 ( Graphic ) - Study In The USA,1156.02,868,20,2.30414747,9.0,Facebook,All India Generic Leads Ad Set_240224,128.44666666666666,45.0
4/30/2024,USP Study Abroad_Generic_240224,#15 ( Graphic ) - Dual coursework_Plain,245.3,60,4,6.66666667,3.0,Facebook,All India Generic Leads Ad Set_240224,81.76666666666667,75.0
4/30/2024,USP Study Abroad_Generic_240224,USP_kavita&steffi_VideoAd6,1205.58,4773,38,0.79614498,7.0,Facebook,All India Generic Leads Ad Set_240224,172.22571428571428,18.421052631578945
4/30/2024,USP_2_Lead-gen-1_220124,State University Of New York_New,11.69,16,4,25,1.0,Facebook,USP-2_Data_Job-title_India_exclude_KATNTSAP,11.69,25.0
4/30/2024,USP_2_Lead-gen-2_Top4-states_050424,#8 ( Graphic ) - Study In The USA,382.66,710,9,1.26760563,2.0,Facebook,USP-2_KA_TN_050424,191.33,22.22222222222222
4/30/2024,USP_2_Lead-gen-2_Top4-states_050424,#7 ( Graphic ) - Get A Free Pass,858.86,3653,16,0.43799617,2.0,Facebook,USP-2_KA_TN_050424,429.43,12.5
4/30/2024,USP_2_Lead-gen-2_Top4-states_050424,USP_S4_Do-you-have,94.81,737,2,0.27137042,1.0,Facebook,USP-2_KA_TN_050424,94.81,50.0
4/27/2024,USP Study Abroad_Generic_240224,USP_kavita&steffi_VideoAd6,1096.9,6712,30,0.44696067,7.0,Facebook,All India Generic Leads Ad Set_240224,156.70000000000002,23.333333333333332
4/22/2024,USP_2_Lead-gen-2_Top4-states_050424,#6 ( Graphic ) - Master's Degree In 12 Months,1861.53,9067,40,0.44116025,4.0,Facebook,USP-2_KA_TN_050424,465.3825,10.0
4/22/2024,USP Study Abroad_Generic_240224,#6 ( Graphic ) - Master's Degree In 12 Months,1426.51,6407,46,0.71796473,4.0,Facebook,All India Counselling Look-a-like_290224,356.6275,8.695652173913043
12/29/2023,CBO - USP Masterclass Cold [ 23rd Nov ] - Higher Intent - No Logic new-  India,#6 ( Graphic ) - Master's Degree In 12 Months,869.04,5769,40,0.69336107,3.0,Facebook,Entrance Exam [ 23rd Nov ],289.68,7.5
12/29/2023,USP Masterclass Cold [ 31st Oct ] - Higher Intent - No Logic,#2 ( Graphic ) - State University Of New York,514.78,889,14,1.57480315,1.0,Facebook,Open Targeting - Advantage+ audience [ 31st Oct ],514.78,7.142857142857142
3/24/2024,USP Study Abroad_Generic_240224,#6 ( Graphic ) - Master's Degree In 12 Months,6736.88,21574,124,0.57476592,22.0,Facebook,All India Counselling Look-a-like_290224,306.2218181818182,17.741935483870968
3/27/2024,USP_Webinar_070324,USP_RG_webinar_V4_Namita,732.65,5149,16,0.31073995,3.0,Facebook,All India test aud Webinar_200324,244.21666666666667,18.75
